industry_name,skills,unique_skills,top_10_skills
Hospitals and Health Care,"['testing', 'nosql', 'java', 'react'] ['leadership', 'collaboration'] ['programming', 'agile', 'organization', 'organization', 'planning', 'agile', 'testing', 'creativity', 'innovation', 'leadership'] ['typescript', 'javascript', 'testing', 'flexibility', 'agile', 'agile', 'typescript', 'javascript', 'testing', 'automation'] ['automation', 'leadership', 'problem-solving', 'nosql', 'collaboration'] ['agile', 'vue', 'leadership', 'writing', 'devops', 'organization', 'leadership'] ['c++', 'hardware', 'testing', 'communication', 'leadership', 'collaboration', 'c++', 'agile'] ['leadership', 'collaboration'] ['testing', 'agile', 'communication', 'sql', 'testing', 'nosql'] ['testing', 'nosql', 'java', 'react'] ['organization', 'agile', 'testing', 'writing', 'algorithms', 'leadership', 'agile', 'planning', 'agile', 'c++', 'java', 'testing', 'communication', 'problem-solving', 'agile', 'networking', 'docker', 'leadership', 'communication', 'leadership'] ['interpersonal', 'communication', 'creativity'] ['programming', 'testing'] [] ['agile', 'sql', 'networking', 'devops', 'automation', 'communication', 'collaboration', 'organization', 'leadership'] ['angular', 'angular', 'react'] ['organization', 'leadership', 'agile', 'agile', 'flexibility', 'flexibility', 'organization', 'leadership', 'programming', 'automation'] ['planning', 'leadership', 'interpersonal', 'planning', 'communication', 'planning', 'leadership', 'containerization', 'programming', 'programming']","'hardware', 'organization', 'innovation', 'docker', 'programming', ['automation', 'sql', 'planning', 'nosql'] 'agile', ['agile', 'testing', 'interpersonal', 'automation', 'nosql', 'algorithms', ['planning', ['angular', 'javascript', ['programming', 'java', [] 'devops', 'c++', 'vue', ['leadership', 'testing'] 'angular', ['interpersonal', 'leadership'] ['organization', ['c++', 'creativity'] 'flexibility', 'communication', 'collaboration', 'leadership', 'networking', 'writing', ['testing', 'containerization', 'agile'] 'creativity', 'programming'] 'typescript', 'react'] 'automation'] 'problem-solving', ['typescript', 'collaboration']","'hardware', 'organization', 'innovation', 'docker', 'programming', ['automation', 'sql', 'planning', 'nosql'] 'agile',"
Human Resources Services,"['javascript', 'javascript', 'css', 'php', 'flask', 'communication', 'teamwork', 'writing', 'automation'] ['kafka', 'agile', 'programming', 'nosql', 'docker', 'agile'] ['leadership', 'agile', 'hardware', 'microservices', 'scripting', 'sql', 'programming', 'leadership'] ['programming', 'nosql', 'docker', 'agile'] ['programming', 'nosql', 'docker', 'agile'] ['programming', 'nosql', 'docker', 'agile'] ['programming', 'nosql', 'docker', 'agile'] ['programming', 'programming', 'programming', 'programming', 'algorithms', 'debugging', 'hardware', 'agile', 'communication', 'networking', 'testing', 'agile']","['kafka', 'programming', 'docker', 'hardware', 'sql', 'css', 'agile', 'testing', 'nosql', 'microservices', 'algorithms', 'javascript', ['programming', 'php', 'flask', ['leadership', 'leadership'] ['javascript', 'scripting', 'communication', 'networking', 'writing', 'teamwork', 'agile'] 'automation'] 'debugging',","['kafka', 'programming', 'docker', 'hardware', 'sql', 'css', 'agile', 'testing', 'nosql', 'microservices',"
IT Services and IT Consulting,"['innovation', 'collaboration', 'agile', 'communication', 'microservices', 'algorithms', 'sql', 'programming'] ['communication', 'sql', 'initiative', 'c#'] ['communication', 'problem-solving', 'networking'] ['automation', 'automation', 'automation', 'devops', 'creativity'] ['c#', 'vue'] ['organization', 'innovation', 'communication', 'java', 'automation', 'agile', 'programming', 'spring', 'spring', 'react', 'testing', 'devops', 'automation', 'scripting', 'agile', 'programming', 'html', 'css'] ['agile', 'leadership', 'communication', 'programming', 'agile', 'agile', 'java', 'spring', 'programming', 'testing'] ['innovation', 'automation', 'java', 'javascript', 'react', 'organization', 'agile', 'flexibility'] ['debugging', 'testing', 'hardware', 'testing', 'agile', 'agile', 'agile', 'agile', 'python', 'agile', 'interpersonal', 'presentation', 'communication'] ['algorithms', 'spark', 'spark', 'kafka', 'sql', 'writing', 'problem-solving', 'communication', 'flexibility'] ['java', 'spark', 'spark', 'kafka', 'problem-solving', 'communication', 'kubernetes', 'testing', 'flexibility'] ['innovation', 'creativity', 'innovation', 'collaboration', 'collaboration', 'programming', 'programming'] ['networking', 'c#', 'c#', 'programming', 'problem-solving', 'communication', 'collaboration'] ['automation', 'java', 'javascript', 'react', 'flexibility'] ['agile', 'javascript', 'testing', 'react', 'testing', 'problem-solving'] ['agile', 'typescript', 'typescript', 'typescript', 'javascript', 'programming', 'typescript', 'testing', 'problem-solving', 'typescript'] ['agile', 'containerization', 'docker', 'devops', 'scripting', 'containerization', 'docker', 'networking', 'problem-solving', 'communication', 'devops'] ['agile', 'javascript', 'programming', 'nosql', 'problem-solving'] ['agile', 'devops', 'containerization', 'docker', 'problem-solving'] ['agile', 'swift', 'programming', 'networking', 'problem-solving'] ['agile', 'testing', 'testing', 'testing', 'programming', 'testing', 'automation', 'testing', 'problem-solving', 'testing'] ['agile', 'react', 'laravel', 'php', 'laravel', 'php', 'programming', 'laravel', 'problem-solving', 'laravel'] ['agile', 'python', 'python', 'python', 'programming', 'programming', 'python', 'programming', 'problem-solving', 'python'] ['agile', 'spring', 'javascript', 'spring', 'problem-solving'] ['agile', 'asp.net', 'asp.net', 'c#', 'programming', 'programming', 'asp.net', 'asp.net', 'sql', 'problem-solving'] ['agile', 'r', 'algorithms', 'programming', 'algorithms', 'problem-solving'] ['agile', 'react', 'react', 'react', 'javascript', 'programming', 'react', 'testing', 'debugging', 'problem-solving', 'react'] ['agile'] ['agile', 'r', 'algorithms', 'algorithms', 'programming', 'algorithms', 'problem-solving'] ['agile', 'sql', 'r', 'programming', 'decision-making', 'sql', 'sql', 'programming', 'python', 'r', 'problem-solving'] ['agile', 'javascript', 'javascript', 'programming', 'problem-solving', 'javascript'] ['agile', 'java', 'java', 'programming', 'java', 'spring', 'problem-solving', 'java'] ['agile', 'r', 'algorithms', 'programming', 'algorithms', 'problem-solving'] ['agile', 'spring', 'javascript', 'spring', 'problem-solving'] ['agile', 'kubernetes', 'node.js', 'node.js', 'programming', 'containerization', 'docker', 'problem-solving', 'node.js'] ['agile', 'ruby', 'ruby', 'ruby', 'ruby', 'programming', 'problem-solving', 'ruby'] ['agile', 'javascript', 'programming', 'nosql', 'problem-solving'] ['agile', 'kotlin', 'java', 'programming', 'networking', 'problem-solving'] ['agile', 'php', 'programming', 'problem-solving', 'communication', 'leadership'] ['agile', 'javascript', 'writing', 'testing', 'agile'] [] [] [] ['devops', 'programming', 'sql', 'nosql', 'containerization', 'problem-solving', 'communication'] ['leadership', 'leadership', 'ansible', 'kafka', 'collaboration', 'teamwork', 'java', 'sql', 'scripting', 'spring', 'kubernetes'] ['testing', 'testing'] ['java', 'spring', 'spring', 'kubernetes', 'sql', 'writing', 'agile', 'terraform'] ['agile', 'automation', 'leadership', 'agile', 'agile', 'agile', 'devops'] ['testing', 'leadership', 'leadership', 'motivation', 'sql', 'docker', 'agile', 'devops', 'angular', 'python'] ['programming', 'problem-solving', 'planning'] ['typescript', 'angular', 'containerization', 'node.js', 'containerization', 'problem-solving', 'communication', 'collaboration'] ['organization', 'teamwork', 'programming', 'kotlin', 'microservices'] ['c#', 'agile', 'c#', 'sql', 'debugging', 'sql', 'devops'] ['microservices', 'algorithms', 'programming'] ['programming', 'go', 'c++', 'kubernetes', 'kubernetes', 'initiative'] [] ['c++', 'java', 'hardware', 'python', 'programming', 'programming', 'hardware', 'c++', 'programming', 'programming', 'programming', 'debugging'] ['hardware', 'c++'] [] ['testing', 'agile', 'algorithms', 'agile', 'java', 'agile', 'programming', 'scripting', 'devops'] [] [] ['communication'] ['testing', 'agile', 'algorithms', 'agile', 'java', 'agile', 'programming', 'scripting', 'devops'] ['testing', 'agile', 'agile', 'java', 'agile', 'programming', 'scripting', 'devops'] ['spring', 'agile'] ['leadership', 'organization', 'spring', 'spring', 'docker', 'kubernetes', 'docker', 'agile', 'kafka', 'terraform'] ['javascript'] ['java', 'java', 'spring', 'flexibility', 'microservices', 'spring', 'problem-solving', 'agile', 'communication', 'teamwork'] ['javascript', 'automation', 'agile', 'javascript', 'testing', 'scripting', 'typescript', 'testing', 'jenkins', 'docker', 'containerization', 'innovation', 'devops'] ['hardware', 'testing', 'testing', 'collaboration', 'programming', 'hardware', 'problem-solving', 'debugging', 'communication', 'java'] ['agile', 'django', 'agile', 'planning', 'programming', 'python', 'devops', 'problem-solving', 'communication'] ['automation', 'problem-solving', 'automation', 'automation', 'automation', 'automation', 'automation', 'debugging'] ['innovation', 'flexibility'] ['c++', 'java', 'communication', 'programming', 'testing', 'debugging'] ['planning', 'testing', 'programming', 'agile', 'node.js', 'communication'] ['leadership', 'java', 'spring', 'sql', 'spring', 'spring', 'jenkins', 'nosql', 'spark', 'spark', 'testing', 'automation', 'agile', 'problem-solving'] ['agile', 'automation', 'programming', 'terraform'] ['spark', 'kafka', 'kubernetes', 'networking', 'programming', 'automation', 'scripting', 'python', 'flexibility'] ['java', 'java', 'kafka'] ['communication', 'problem-solving', 'communication', 'nosql', 'agile', 'communication', 'nosql', 'problem-solving', 'communication', 'collaboration', 'agile'] ['spring', 'leadership', 'spring', 'leadership', 'innovation', 'testing', 'spring', 'microservices', 'leadership', 'communication', 'interpersonal', 'agile', 'devops', 'devops'] ['leadership', 'java', 'spring', 'sql', 'spring', 'spring', 'jenkins', 'nosql', 'spark', 'spark', 'testing', 'automation', 'agile', 'problem-solving'] ['writing', 'java'] ['java', 'devops', 'leadership', 'java', 'microservices'] ['collaboration', 'problem-solving', 'communication'] ['testing', 'testing', 'testing', 'communication'] ['organization'] ['agile', 'agile', 'communication', 'agile', 'go'] ['organization', 'spark', 'sql', 'agile', 'writing', 'organization', 'communication', 'leadership', 'networking', 'planning', 'innovation', 'go'] ['java', 'java', 'java', 'java', 'flexibility', 'flexibility'] ['problem-solving'] ['javascript', 'javascript', 'python', 'automation', 'automation', 'agile', 'automation', 'testing', 'automation', 'java', 'javascript', 'jenkins', 'automation', 'automation', 'agile'] ['innovation', 'leadership', 'innovation'] ['automation', 'testing', 'automation', 'networking', 'initiative'] ['programming', 'programming', 'problem-solving', 'agile'] ['programming', 'sql', 'communication', 'communication'] ['pytorch', 'tensorflow'] ['devops', 'innovation', 'organization', 'devops', 'agile', 'spark', 'problem-solving', 'communication', 'flexibility', 'spark', 'planning', 'innovation', 'go'] ['initiative', 'agile', 'organization', 'decision-making', 'programming', 'python', 'devops'] ['agile', 'agile', 'initiative'] ['automation', 'automation', 'testing', 'automation', 'testing', 'automation', 'problem-solving', 'testing', 'flexibility', 'collaboration'] ['hardware', 'programming', 'communication', 'sql', 'planning', 'devops'] ['automation', 'automation', 'automation', 'automation', 'automation', 'java', 'automation', 'java', 'communication', 'java', 'automation', 'automation', 'automation', 'automation', 'automation', 'automation', 'java', 'java', 'automation', 'java', 'automation'] ['sql', 'java', 'communication'] ['programming', 'programming', 'sql'] ['organization', 'c#', 'programming', 'java', 'react', 'agile', 'testing', 'programming'] ['organization', 'communication', 'programming', 'kubernetes', 'devops', 'devops'] ['angular', 'flexibility', 'testing', 'debugging', 'problem-solving', 'communication', 'react', 'javascript'] ['testing', 'testing', 'testing', 'automation', 'problem-solving', 'automation', 'problem-solving', 'flexibility', 'collaboration'] ['agile', 'agile', 'initiative'] ['flexibility', 'hardware', 'communication', 'cybersecurity', 'resilience', 'java'] ['flexibility', 'hardware', 'communication', 'cybersecurity', 'resilience', 'java'] ['hardware', 'programming', 'communication', 'sql', 'planning', 'devops'] ['spring', 'spring', 'spring', 'spring', 'spring', 'kafka', 'kafka', 'kafka', 'kafka', 'kafka', 'kafka'] ['asp.net', 'sql'] ['javascript'] ['innovation', 'java', 'leadership', 'agile', 'agile'] ['devops', 'writing', 'testing', 'communication', 'communication', 'interpersonal', 'testing', 'hardware'] ['programming', 'programming', 'programming', 'programming', 'communication', 'collaboration'] ['testing', 'programming', 'microservices', 'kubernetes', 'kafka'] ['c#', 'c#', 'writing', 'testing', 'asp.net', 'asp.net', 'sql', 'writing', 'programming', 'devops', 'debugging', 'problem-solving'] ['debugging', 'hardware', 'python', 'python', 'programming', 'debugging', 'hardware'] ['agile', 'nosql', 'programming'] ['go', 'algorithms', 'testing', 'testing', 'programming', 'c#', 'sql', 'testing', 'javascript', 'react', 'flexibility', 'innovation'] ['programming', 'programming', 'sql'] ['react'] ['java', 'sql', 'testing', 'agile', 'communication', 'java', 'microservices', 'sql'] ['java', 'java', 'spring', 'nosql', 'kafka', 'spring', 'agile', 'programming', 'spring', 'microservices', 'kafka', 'agile', 'html', 'java', 'leadership', 'collaboration'] ['automation', 'decision-making', 'automation', 'automation', 'testing', 'sql', 'automation', 'testing', 'jenkins', 'testing', 'sql', 'testing', 'html', 'communication', 'python', 'programming', 'programming', 'testing', 'writing', 'sql', 'html'] ['flexibility', 'flexibility', 'networking', 'programming', 'java', 'nosql', 'networking', 'java', 'java', 'programming', 'java', 'networking', 'programming', 'sql', 'nosql', 'networking', 'java', 'java', 'communication', 'presentation', 'communication', 'presentation', 'flexibility'] ['agile', 'spring', 'microservices', 'typescript', 'sql', 'nosql', 'problem-solving', 'debugging', 'communication', 'collaboration', 'devops', 'react', 'containerization', 'kubernetes', 'agile', 'planning', 'testing', 'java', 'spring', 'java', 'spring', 'microservices'] ['flexibility', 'flexibility'] ['leadership', 'containerization', 'testing', 'devops', 'python', 'sql', 'nosql', 'collaboration', 'agile', 'sql', 'nosql'] ['interpersonal', 'communication', 'agile', 'organization', 'interpersonal', 'communication', 'agile'] ['communication', 'leadership', 'c++', 'scripting', 'scripting', 'automation', 'agile'] ['programming', 'python', 'hardware', 'communication'] ['agile', 'agile', 'microservices', 'programming', 'testing', 'testing', 'php', 'sql', 'scripting', 'automation', 'leadership', 'flexibility'] ['agile', 'agile', 'spring', 'automation'] ['automation', 'writing', 'sql', 'sql', 'communication', 'sql', 'sql', 'communication'] ['java', 'spring', 'nosql', 'communication'] ['testing', 'javascript', 'programming', 'microservices', 'java', 'scripting', 'python', 'sql', 'sql', 'programming', 'java', 'interpersonal', 'communication', 'asp.net', 'asp.net', 'asp.net', 'c#', 'sql'] ['programming', 'problem-solving', 'communication'] ['leadership', 'initiative', 'programming', 'testing', 'debugging', 'programming', 'collaboration', 'agile', 'microservices', 'javascript', 'angular', 'css', 'css', 'testing', 'containerization', 'organization'] ['algorithms'] ['vue', 'communication', 'programming', 'debugging', 'devops', 'problem-solving', 'communication', 'go', 'flexibility'] ['programming', 'c++', 'programming', 'c++'] ['testing', 'debugging', 'communication', 'spring', 'nosql'] ['programming', 'c++', 'programming', 'c++'] [] ['programming', 'c++', 'programming', 'c++'] ['javascript'] ['agile', 'programming', 'docker', 'kubernetes', 'automation'] ['java', 'kafka', 'go', 'python', 'writing', 'testing', 'leadership'] ['agile', 'spring', 'java'] ['devops', 'docker', 'react', 'spring', 'agile', 'devops'] ['automation', 'testing', 'testing', 'testing'] ['typescript', 'node.js', 'empathy', 'planning', 'organization', 'leadership'] ['agile', 'agile', 'communication'] ['java', 'java', 'leadership', 'java', 'java', 'leadership', 'java', 'java', 'java', 'containerization'] ['networking', 'agile', 'hardware', 'hardware', 'debugging'] ['algorithms', 'hardware', 'algorithms', 'hardware', 'algorithms', 'hardware', 'c++'] ['java', 'react', 'java', 'spring', 'microservices', 'angular', 'problem-solving', 'communication', 'leadership', 'agile'] ['react', 'react'] ['automation', 'programming', 'scripting', 'python', 'python', 'testing', 'sql', 'sql', 'writing', 'automation', 'automation', 'automation', 'agile', 'agile'] ['java', 'java'] ['devops', 'communication', 'programming', 'typescript', 'angular'] ['testing', 'automation', 'testing', 'testing', 'testing', 'testing', 'testing', 'testing', 'testing', 'testing'] ['testing', 'automation', 'testing', 'testing', 'jenkins', 'testing', 'testing', 'testing', 'testing', 'testing', 'testing'] ['kubernetes', 'communication', 'kubernetes', 'programming', 'go', 'kubernetes', 'kubernetes', 'problem-solving', 'teamwork', 'communication', 'programming'] ['python', 'python', 'python', 'microservices', 'programming', 'programming', 'python', 'microservices'] ['angular', 'testing', 'angular', 'debugging', 'agile'] ['algorithms', 'spark'] ['writing', 'agile', 'automation', 'agile', 'devops', 'collaboration', 'interpersonal'] ['testing', 'testing', 'go'] ['agile', 'testing', 'sql', 'interpersonal', 'agile', 'go'] ['agile', 'communication', 'nosql', 'hadoop', 'planning', 'innovation', 'go'] ['communication', 'sql', 'sql', 'writing'] ['programming', 'jenkins', 'programming', 'jenkins', 'devops', 'organization'] ['sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'sql', 'python', 'react', 'agile'] ['organization', 'agile', 'communication', 'organization']","'vue'] 'html', 'programming', 'organization', ['hardware', 'spark', 'planning'] ['collaboration', 'laravel'] ['go', 'kafka'] 'css', 'cybersecurity', ['agile', ['writing', ['algorithms'] 'decision-making', 'ruby', ['agile'] ['communication'] 'laravel', ['kubernetes', ['communication', 'writing'] 'sql'] 'devops'] 'tensorflow'] ['organization', 'collaboration', 'communication', 'kafka', 'writing', 'asp.net', 'django', ['javascript'] 'c++', 'collaboration'] ['algorithms', ['pytorch', ['networking', 'hardware', 'communication'] 'initiative'] 'kubernetes', 'planning', ['devops', 'css'] 'spring', 'testing', ['initiative', ['angular', 'javascript', ['spark', 'typescript'] 'empathy', 'debugging'] [] 'php', 'devops', 'r', 'angular', 'java'] ['react'] ['java', 'scripting', 'problem-solving'] ['c++', 'creativity'] ['problem-solving'] 'go'] ['asp.net', ['testing', 'creativity', 'typescript', 'react'] ['innovation', 'debugging', 'ansible', 'go', 'innovation', 'docker', 'sql', ['microservices', 'resilience', 'microservices'] 'agile', 'c#'] 'microservices', 'nosql', 'algorithms', ['c#', 'jenkins', 'kotlin', 'organization'] 'c++'] ['flexibility', 'javascript'] 'flexibility'] ['leadership', ['organization'] 'python', 'node.js', 'teamwork', 'networking'] 'automation'] 'initiative', 'problem-solving', ['typescript', 'interpersonal'] ['automation', 'node.js'] 'nosql'] 'python'] ['sql', 'swift', 'angular'] 'interpersonal', 'automation', ['vue', ['planning', ['spring', ['programming', 'teamwork'] 'hadoop', 'java', 'spark'] ['react', 'c#', ['debugging', 'hardware'] 'testing'] ['python', ['interpersonal', 'leadership'] 'terraform'] ['javascript', 'flexibility', 'ruby'] 'innovation'] 'leadership', 'presentation', 'networking', 'kubernetes'] 'containerization', 'agile'] 'programming'] 'containerization'] 'html'] 'react', 'motivation',","'vue'] 'html', 'programming', 'organization', ['hardware', 'spark', 'planning'] ['collaboration', 'laravel'] ['go',"
IT System Custom Software Development,"['sql', 'sql', 'javascript', 'sql', 'sql', 'problem-solving', 'communication', 'collaboration', 'javascript', 'decision-making', 'javascript'] ['c++', 'programming', 'c++', 'programming', 'c++']","'collaboration', 'programming', 'javascript'] 'decision-making', 'javascript', 'sql', ['c++', 'c++', ['sql', 'problem-solving', 'c++'] 'communication',","'collaboration', 'programming', 'javascript'] 'decision-making', 'javascript', 'sql', ['c++', 'c++', ['sql', 'problem-solving',"
Industrial Machinery Manufacturing,"['scripting', 'testing', 'debugging', 'testing', 'automation', 'programming']","'testing', 'automation', ['scripting', 'programming'] 'debugging',","'testing', 'automation', ['scripting', 'programming'] 'debugging',"
Information Services,"['algorithms', 'writing', 'algorithms', 'testing', 'python', 'scripting', 'scripting'] ['automation', 'testing', 'programming', 'python', 'sql', 'agile', 'sql', 'python', 'python', 'sql', 'testing', 'python', 'programming', 'testing', 'javascript', 'python', 'automation', 'automation', 'python', 'sql', 'agile', 'automation', 'testing', 'automation', 'java', 'javascript', 'jenkins', 'automation', 'automation', 'agile', 'automation', 'testing', 'testing', 'sql', 'automation', 'communication', 'java', 'programming', 'testing', 'sql', 'automation', 'automation'] ['java', 'java', 'automation', 'programming', 'jenkins', 'automation'] ['agile', 'communication', 'agile', 'problem-solving', 'communication', 'microservices', 'sql', 'agile', 'creativity'] ['sql', 'asp.net'] ['initiative', 'php', 'php', 'javascript', 'testing', 'php', 'bash', 'javascript', 'css'] ['sql', 'testing', 'communication', 'testing', 'sql', 'asp.net'] ['angular', 'asp.net', 'c#', 'sql', 'agile', 'asp.net', 'sql', 'writing', 'punctuality'] ['javascript', 'testing', 'sql'] ['debugging', 'programming', 'problem-solving', 'communication'] ['sql', 'networking', 'automation', 'automation', 'devops', 'c#', 'python', 'angular', 'angular', 'angular', 'c#', 'python', 'docker'] ['agile', 'agile', 'flexibility', 'automation', 'programming', 'c#', 'sql', 'agile', 'agile']","'programming', 'communication'] ['automation', 'sql', ['sql', 'docker'] 'agile', 'css'] ['agile', 'testing', 'automation', 'microservices', 'algorithms', ['initiative', 'jenkins', 'asp.net'] ['angular', 'javascript', 'java', 'php', 'c#', 'devops', ['debugging', 'punctuality'] 'angular', 'bash', 'sql'] ['java', 'scripting', ['javascript', 'python', 'creativity'] 'flexibility', 'communication', 'networking', 'writing', 'asp.net', 'agile'] 'scripting'] 'automation'] 'problem-solving', ['algorithms',","'programming', 'communication'] ['automation', 'sql', ['sql', 'docker'] 'agile', 'css'] ['agile', 'testing',"
Information Technology & Services,"['java', 'java', 'sql'] [] ['java', 'java', 'java'] ['programming', 'communication', 'problem-solving'] ['teamwork', 'testing', 'agile', 'react', 'testing', 'react', 'testing', 'agile', 'organization'] ['java', 'java', 'spring', 'kafka', 'angular', 'html', 'css', 'jenkins'] ['agile', 'devops', 'problem-solving', 'collaboration'] ['programming', 'programming', 'problem-solving', 'agile', 'communication', 'interpersonal']","'interpersonal'] 'html', 'programming', 'css', 'jenkins'] 'agile', 'spring', 'testing', ['agile', ['programming', 'organization'] 'java', [] 'devops', ['teamwork', 'angular', 'java'] 'sql'] ['java', 'problem-solving'] 'communication', 'kafka', 'problem-solving', 'react', 'collaboration']","'interpersonal'] 'html', 'programming', 'css', 'jenkins'] 'agile', 'spring', 'testing', ['agile', ['programming',"
Insurance,"['communication', 'java', 'kubernetes', 'containerization', 'interpersonal', 'communication', 'interpersonal', 'initiative'] ['java', 'agile', 'java', 'planning', 'leadership', 'programming', 'writing', 'java', 'spring', 'spring', 'spring', 'spring', 'spring', 'spring', 'spring', 'testing', 'nosql', 'testing', 'devops', 'kafka'] ['node.js', 'react', 'initiative', 'decision-making', 'interpersonal', 'communication', 'problem-solving'] ['css', 'agile', 'devops', 'testing', 'agile', 'programming', 'debugging'] ['agile', 'hardware', 'programming', 'sql', 'sql', 'agile', 'automation', 'devops', 'communication', 'organization', 'flexibility', 'initiative'] ['organization', 'communication', 'organization', 'organization', 'agile', 'communication', 'flexibility', 'java', 'react', 'sql', 'spring', 'flexibility', 'java'] ['organization', 'testing', 'writing', 'programming', 'problem-solving', 'communication'] ['devops', 'collaboration', 'automation', 'innovation', 'programming', 'problem-solving', 'communication'] ['java', 'agile', 'spring', 'kafka', 'spring', 'java', 'java', 'angular', 'spring', 'spring', 'writing', 'spring', 'problem-solving', 'jenkins', 'spring', 'spring', 'spring'] ['testing', 'agile', 'testing', 'react', 'microservices', 'agile', 'organization', 'communication', 'terraform', 'initiative'] ['agile', 'devops', 'problem-solving', 'microservices', 'programming', 'innovation'] ['planning', 'collaboration', 'programming', 'writing', 'microservices', 'java', 'spring', 'java', 'spring', 'react', 'testing', 'programming', 'agile', 'initiative'] ['agile', 'programming', 'leadership'] ['testing', 'agile', 'programming', 'debugging', 'sql', 'sql'] ['testing', 'agile', 'programming', 'debugging', 'sql', 'sql'] ['decision-making', 'leadership', 'organization'] ['leadership', 'leadership', 'agile', 'devops', 'docker', 'python', 'leadership', 'java', 'java', 'java', 'devops', 'scripting', 'organization'] ['planning', 'initiative', 'agile', 'agile', 'planning', 'angular', 'agile', 'react', 'react', 'devops'] ['testing', 'agile', 'javascript', 'angular', 'programming', 'debugging'] ['agile', 'devops', 'python', 'adaptability', 'programming'] ['innovation', 'organization', 'javascript', 'negotiation', 'debugging', 'communication', 'leadership']","'hardware', 'programming', 'organization', 'innovation', 'docker', 'communication'] ['decision-making', 'initiative'] 'kubernetes', 'sql', 'planning', 'kafka'] 'agile', ['devops', 'debugging', 'spring', 'interpersonal', 'testing', ['agile', 'automation', 'nosql', 'microservices', ['css', 'decision-making', 'jenkins', ['planning', 'javascript', 'organization'] 'negotiation', 'java', 'debugging'] 'devops', 'initiative', ['communication', 'angular', ['leadership', 'java'] 'sql'] ['java', 'spring'] ['organization', 'problem-solving'] 'leadership'] 'python', 'scripting', 'devops'] 'adaptability', 'flexibility', 'communication', 'collaboration', 'kafka', 'innovation'] 'leadership', ['node.js', 'terraform', 'writing', ['testing', 'containerization', 'problem-solving', 'programming'] ['innovation', 'react',","'hardware', 'programming', 'organization', 'innovation', 'docker', 'communication'] ['decision-making', 'initiative'] 'kubernetes', 'sql',"
Internet Marketplace Platforms,"['automation', 'testing', 'communication', 'python', 'programming', 'programming', 'hardware', 'encryption', 'communication', 'automation', 'collaboration', 'go', 'hardware', 'hardware', 'hardware', 'python', 'programming'] ['java'] ['planning', 'planning'] ['java'] ['microservices', 'python'] ['python', 'microservices'] [] []","'go', 'hardware', 'programming', 'planning'] ['automation', 'python'] ['microservices', 'microservices'] 'testing', 'automation', ['planning', [] ['python', 'python', 'collaboration', 'communication', ['java'] 'programming'] 'encryption',","'go', 'hardware', 'programming', 'planning'] ['automation', 'python'] ['microservices', 'microservices'] 'testing', 'automation',"
Internet News,"['writing', 'testing', 'automation', 'writing', 'debugging', 'automation', 'python', 'testing', 'testing', 'testing', 'automation', 'agile', 'listening', 'communication'] ['planning', 'leadership', 'collaboration', 'testing', 'typescript', 'angular', 'nosql', 'collaboration']","['writing', 'testing', 'automation', 'leadership', 'writing', 'collaboration', 'nosql', 'communication'] 'angular', ['planning', 'python', 'typescript', 'listening', 'debugging', 'agile', 'collaboration']","['writing', 'testing', 'automation', 'leadership', 'writing', 'collaboration', 'nosql', 'communication'] 'angular', ['planning',"
Internet Publishing,"['spark', 'react', 'react', 'communication', 'teamwork', 'networking']","'teamwork', ['spark', 'networking'] 'react', 'communication',","'teamwork', ['spark', 'networking'] 'react', 'communication',"
Investment Management,"['writing', 'programming', 'problem-solving', 'communication'] ['testing', 'programming', 'sql', 'testing', 'programming', 'interpersonal', 'communication', 'testing'] ['java', 'problem-solving', 'communication']","['writing', 'testing', 'interpersonal', 'programming', ['testing', 'communication'] 'testing'] ['java', 'sql', 'problem-solving', 'communication',","['writing', 'testing', 'interpersonal', 'programming', ['testing', 'communication'] 'testing'] ['java', 'sql', 'problem-solving',"
Law Practice,"['innovation', 'collaboration', 'leadership', 'leadership', 'initiative', 'organization', 'c#', 'devops', 'devops', 'devops']","'leadership', 'c#', 'devops', 'organization', 'devops'] ['innovation', 'initiative', 'collaboration',","'leadership', 'c#', 'devops', 'organization', 'devops'] ['innovation', 'initiative', 'collaboration',"
Machinery Manufacturing,"['testing', 'leadership', 'programming', 'hardware'] ['agile', 'programming', 'algorithms', 'programming', 'sql', 'problem-solving', 'automation', 'angular']","['agile', 'leadership', 'automation', 'hardware'] 'programming', ['testing', 'algorithms', 'sql', 'problem-solving', 'angular']","['agile', 'leadership', 'automation', 'hardware'] 'programming', ['testing', 'algorithms', 'sql', 'problem-solving', 'angular']"
Manufacturing,['java'],['java'],['java']
Maritime Transportation,"['collaboration', 'programming', 'spring', 'communication', 'spring', 'debugging', 'java'] ['collaboration', 'programming', 'spring', 'debugging', 'spring', 'debugging', 'spring', 'react', 'sql', 'programming', 'java', 'communication', 'communication', 'programming']","'spring', 'programming', ['collaboration', 'java'] 'sql', 'programming'] 'react', 'java', 'debugging', 'communication',","'spring', 'programming', ['collaboration', 'java'] 'sql', 'programming'] 'react', 'java', 'debugging', 'communication',"
Market Research,"['organization', 'agile', 'programming', 'scripting', 'organization']","'programming', ['organization', 'scripting', 'organization'] 'agile',","'programming', ['organization', 'scripting', 'organization'] 'agile',"
